percentile,threshold2016dollars,cumulativeShare
20,-1279.9529,-0.01571
40,20376.85,-0.01283
60,88982.328,0.02113
80,287733.41,0.13562
90,562155.31,0.27015
95,991195.5,0.404547
99,3225481.3,0.627554
