Labor Income,TPC Current Law Marginal Tax Rate
0,-0.03
9320,0.017
19387,0.113
29860,0.147
42532,0.152
57311,0.163
75870,0.166
100096,0.173
131298,0.218
185791,0.244
246150,0.299
511693,0.33
722545,0.374
1586414,0.383
